"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"GOBP_ACTIVATION_OF_INNATE_IMMUNE_RESPONSE","GOBP_ACTIVATION_OF_INNATE_IMMUNE_RESPONSE",75,0.501531905325307,2.88638183053769,1.17913954973356e-10,4.06551997361686e-08,3.35800417821266e-08,1629,"tags=72%, list=36%, signal=47%","GBP2/FOSL1/HSPA1B/IRAK2/RSAD2/HSPA1A/RNF125/HSP90AA1/MAPKAPK2/NOD1/HSP90B1/HAVCR2/TRIM25/SLC15A4/CASP6/CLPB/RFTN1/MFHAS1/LRCH4/GPR108/NPLOC4/UFD1/IRF7/DHX33/DDX41/ZDHHC18/UBQLN1/ALPK1/NONO/NFKBIA/ATAT1/TRAF6/LYN/TNIP1/OTULIN/WDFY1/PQBP1/MASP1/DHX58/ZNFX1/ZDHHC3/ZDHHC9/OTUD4/RNF115/CREBBP/CACTIN/TRIM65/STMP1/ZNRF1/IKBKB/ITCH/ABHD17A/BIRC2/AKT1"
"GOBP_REGULATION_OF_INNATE_IMMUNE_RESPONSE","GOBP_REGULATION_OF_INNATE_IMMUNE_RESPONSE",108,0.437183765174965,2.71678536658947,1.14043155958057e-10,4.06551997361686e-08,3.35800417821266e-08,1629,"tags=69%, list=36%, signal=45%","GBP2/SFN/FOSL1/HSPA1B/IRAK2/RSAD2/HSPA1A/RNF125/C3/HSP90AA1/MAPKAPK2/NOD1/PLSCR1/INPP5D/SERPING1/HSP90B1/HAVCR2/TRIM25/PIM1/SLC15A4/HLA-F/CASP6/DDX39A/CLPB/RFTN1/MFHAS1/LRCH4/GPR108/NPLOC4/UFD1/IRF7/TGFB1/DHX33/DDX41/PTPN2/ZDHHC18/UBQLN1/ALPK1/NONO/NFKBIA/NR1H2/ATAT1/PARP14/TRAF6/LYN/TNIP1/OTULIN/ADAR/WDFY1/PQBP1/EIF4E2/MASP1/DHX58/TRAFD1/ZNFX1/ZDHHC3/B2M/ZDHHC9/OTUD4/RNF115/CREBBP/CRK/CACTIN/PARP9/TRIM65/STAT2/STMP1/ZNRF1/IKBKB/ITCH/UBE2K/ABHD17A/BIRC2/AKT1"
"GOBP_REGULATION_OF_IMMUNE_RESPONSE","GOBP_REGULATION_OF_IMMUNE_RESPONSE",195,0.371974782963696,2.66816441298727,1e-10,4.06551997361686e-08,3.35800417821266e-08,1635,"tags=62%, list=36%, signal=42%","GBP2/SFN/FOSL1/CLCF1/NFATC2/HSPA1B/ANXA1/IRAK2/RSAD2/HSPA1A/RNF125/ARID5A/C3/GBP1/SHB/IL1R1/HSP90AA1/MAPKAPK2/NOD1/PMS2/SPPL2A/PLSCR1/INPP5D/SERPING1/PRKAR2B/HSP90B1/PLPP4/TGFB2/C1R/HAVCR2/TRIM25/PRKD2/HLA-DMA/PIM1/SLC15A4/HLA-F/MR1/CASP6/DDX39A/C1S/CLPB/RFTN1/BAG6/MFHAS1/LRCH4/STX4/GPR108/NPLOC4/UFD1/IRF7/TGFB1/SUPT6H/DHX33/DDX41/PTPN2/ZDHHC18/UBQLN1/BRD2/ALPK1/NONO/DDRGK1/NFKBIA/NR1H2/CD276/CD81/ATAT1/PARP14/BCR/TRPM4/TRAF6/PLEKHA1/LYN/XBP1/TNIP1/OTULIN/BRD4/ADAR/CD72/BCAR1/WDFY1/PQBP1/EIF4E2/STK11/MASP1/EIF2B4/DHX58/IL6ST/TRAFD1/LIME1/SHLD2/ZNFX1/CSK/ZDHHC3/B2M/PLD2/ZDHHC9/OTUD4/RNF115/CREBBP/CRK/KHDRBS1/CACTIN/INPPL1/USP5/EIF2B5/PARP9/TRIM65/MAPK1/STAT2/STMP1/ZNRF1/IKBKB/ITCH/PSMB4/RNF31/UBE2K/ABHD17A/RABGEF1/BIRC2/AKT1/CD74"
"GOBP_POSITIVE_REGULATION_OF_IMMUNE_RESPONSE","GOBP_POSITIVE_REGULATION_OF_IMMUNE_RESPONSE",161,0.382390661528642,2.64093033359325,1e-10,4.06551997361686e-08,3.35800417821266e-08,1635,"tags=64%, list=36%, signal=43%","GBP2/FOSL1/CLCF1/NFATC2/HSPA1B/ANXA1/IRAK2/RSAD2/HSPA1A/RNF125/ARID5A/C3/GBP1/SHB/IL1R1/HSP90AA1/MAPKAPK2/NOD1/PMS2/PLSCR1/INPP5D/SERPING1/HSP90B1/PLPP4/TGFB2/C1R/HAVCR2/TRIM25/PRKD2/HLA-DMA/SLC15A4/HLA-F/MR1/CASP6/C1S/CLPB/RFTN1/BAG6/MFHAS1/LRCH4/STX4/GPR108/NPLOC4/UFD1/IRF7/TGFB1/DHX33/DDX41/PTPN2/ZDHHC18/UBQLN1/BRD2/ALPK1/NONO/DDRGK1/NFKBIA/CD276/CD81/ATAT1/TRAF6/PLEKHA1/LYN/XBP1/TNIP1/OTULIN/BRD4/CD72/BCAR1/WDFY1/PQBP1/STK11/MASP1/EIF2B4/DHX58/IL6ST/LIME1/SHLD2/ZNFX1/CSK/ZDHHC3/B2M/PLD2/ZDHHC9/OTUD4/RNF115/CREBBP/KHDRBS1/CACTIN/EIF2B5/PARP9/TRIM65/MAPK1/STMP1/ZNRF1/IKBKB/ITCH/RNF31/UBE2K/ABHD17A/RABGEF1/BIRC2/AKT1/CD74"
"GOBP_RESPONSE_TO_PEPTIDE","GOBP_RESPONSE_TO_PEPTIDE",209,0.351831533008729,2.55151396527263,1e-10,4.06551997361686e-08,3.35800417821266e-08,1077,"tags=38%, list=24%, signal=30%","GBP2/FOSL1/CLCF1/CITED1/CCL2/RELB/ICAM1/HSPA1B/ACKR1/IRAK2/NFKB2/PTP4A3/SBNO2/GCLM/HSPA1A/RNF125/CD44/GBP1/IL6R/SERPINA3/IL1R1/KLF2/MAPKAPK2/SPPL2A/ABCC1/BCL2L1/PLSCR1/IL13RA1/RFFL/LRAT/GFPT2/SEC61A1/STIP1/ARID5B/TAF9/TRIM25/TRAF5/TIMP1/HTRA2/OSMR/PIM1/SHMT1/IMPDH2/GPR108/STAT1/SPP1/IRF7/MYO1C/FASN/TRAF3IP2/DDX41/PTPN2/AKAP12/HSP90AB1/MRAS/HIPK1/PRKACA/PML/SNCA/PSMB3/PSMD11/KHSRP/TNFRSF1A/NFKBIA/IFITM2/NR1H2/BAG4/ACTN4/PARP14/NUMBL/PFKP/PRKCI/SPHK1/TRAF6/SRM/LYN/XBP1/OTULIN/NPNT"
"GOBP_REGULATION_OF_IMMUNE_SYSTEM_PROCESS","GOBP_REGULATION_OF_IMMUNE_SYSTEM_PROCESS",317,0.29784475954258,2.3002021713875,1e-10,4.06551997361686e-08,3.35800417821266e-08,1609,"tags=55%, list=35%, signal=38%","GBP2/SFN/FOSL1/PGF/CLCF1/CCL2/NFATC2/ICAM1/HSPA1B/ANXA1/IRAK2/RSAD2/HSPA1A/RNF125/ARID5A/C3/GBP1/SHB/IL6R/PTPRE/MCUB/IL1R1/HSP90AA1/MAPKAPK2/SLC7A5/ANO6/NOD1/PMS2/LDLR/TGFB3/SPPL2A/UBASH3B/PLSCR1/INPP5D/IL13RA1/COLEC12/SERPING1/MSN/MMP14/PRKAR2B/HSP90B1/PLPP4/TGFB2/C1R/HAVCR2/TRIM25/SLC4A2/PRKD2/HLA-DMA/PIM1/SLC15A4/HLA-F/TWSG1/MTURN/MR1/HSPH1/CASP6/DDX39A/ZBTB49/C1S/CLPB/JAG1/RFTN1/LDB1/BAG6/MFHAS1/LRCH4/STX4/GPR108/NPLOC4/UFD1/STAT1/IRF7/TGFB1/MED23/SUPT6H/DHX33/SOCS6/DDX41/PTPN2/ZDHHC18/UBQLN1/BRD2/ZNF335/ALPK1/SNCA/CUL4A/PSMB3/NONO/DDRGK1/AP3D1/NFKBIA/NR1H2/CD276/CD81/LGMN/SLC7A1/ATAT1/PARP14/BCR/FSTL3/MAD1L1/SPHK1/TRPM4/TRAF6/CBFB/PLEKHA1/LYN/XBP1/TNIP1/OTULIN/MYO18A/DDX21/BRD4/ADAR/CD72/BCAR1/WDFY1/PQBP1/EIF4E2/STK11/MASP1/P4HB/EIF2B4/DHX58/IL6ST/TRAFD1/LIME1/SHLD2/ZNFX1/CD99/CSK/ZDHHC3/B2M/SMARCA4/STAT3/EMILIN1/PSMA5/PLD2/ZNF675/ZDHHC9/OTUD4/ZBTB17/ITPKB/DCAF15/RNF115/CREBBP/CRK/AMBRA1/KHDRBS1/CACTIN/DLG5/INPPL1/USP5/EIF2B5/PCID2/PARP9/CAMK1D/TTBK1/GPI/TRIM65/MAPK1/STAT2/SMARCD3/STMP1/ZNRF1/IKBKB/ITCH/PSMB4/RNF31/UBE2K/ABHD17A/RABGEF1/BIRC2"
"GOBP_REGULATION_OF_RESPONSE_TO_STRESS","GOBP_REGULATION_OF_RESPONSE_TO_STRESS",346,0.279942660533824,2.16053322275704,1.18528279114194e-10,4.06551997361686e-08,3.35800417821266e-08,1600,"tags=51%, list=35%, signal=36%","GBP2/SFN/FOSL1/C1QTNF12/BOK/TNFRSF12A/HGF/HSPA1B/ANXA1/IRAK2/RSAD2/MANF/SBNO2/HSPA1A/RNF125/C3/APLNR/CD44/GBP1/NEAT1/IL1R1/HELB/HSP90AA1/MUC1/MAPKAPK2/ANO6/ATAD3A/NOD1/LDLR/ABCC1/UBASH3B/BCL2L1/CHCHD2/PLSCR1/INPP5D/SERPING1/MMP14/PRKAR2B/HSP90B1/CEBPG/TGFB2/DNAJC2/TAF9/HAVCR2/TRIM25/DNAJB1/FNDC4/TAF6L/DDR2/OSMR/LMNA/PIM1/SESN2/SELENON/SLC15A4/POLH/HLA-F/SYVN1/ZNF385A/LRSAM1/CASP6/SHISA5/DDX39A/CLPB/RFTN1/LPCAT3/CRY1/BAG6/MFHAS1/LRCH4/GPR108/NPLOC4/UFD1/STAT1/SPP1/IRF7/FBXO4/BAP1/TGFB1/TRAF3IP2/DHX33/DDX41/DAGLB/BID/PTPN2/ZDHHC18/SIK2/UBQLN1/ITGB1/PML/WFS1/H2AX/ALPK1/SNCA/CUL4A/CHORDC1/NONO/DDRGK1/TNFRSF1A/DEK/TAOK2/NFKBIA/NR1H2/CD81/SIRT6/ATAT1/PARP14/QARS1/BCR/ROCK2/SPRING1/SPHK1/TRAF6/LYN/XBP1/PTTG1IP/RTCA/TNIP1/OTULIN/SGF29/TMEM259/SLC38A2/BRD4/ADAR/PRMT2/WDFY1/PQBP1/EIF4E2/MASP1/DHX58/IL6ST/TRAFD1/SHLD2/USP14/ZNFX1/TIGAR/EIF4G1/INO80/ZDHHC3/B2M/SMARCA4/STAT3/PPARA/EMILIN1/UCN/KEAP1/ZDHHC9/OTUD4/EPC2/RNF115/SETD7/CREBBP/CRK/CACTIN/TAF12/TRIM28/BCL7B/NCOA7/PARP9/TTBK1/MTCH2/TRIM65/MAPK1/STAT2/SMARCD3/AREL1/STMP1/ATR/ZNRF1/IKBKB/ITCH/PSMB4/RNF31/UBE2K/ABHD17A/CUL1/RABGEF1"
"GOBP_POSITIVE_REGULATION_OF_DEFENSE_RESPONSE","GOBP_POSITIVE_REGULATION_OF_DEFENSE_RESPONSE",111,0.424031097947021,2.66642939624136,1.89445594919249e-10,5.68573591751395e-08,4.69625658984032e-08,1629,"tags=69%, list=36%, signal=46%","GBP2/FOSL1/HSPA1B/IRAK2/RSAD2/HSPA1A/RNF125/C3/GBP1/NEAT1/IL1R1/HSP90AA1/MAPKAPK2/NOD1/LDLR/ABCC1/PLSCR1/HSP90B1/HAVCR2/TRIM25/OSMR/SLC15A4/HLA-F/LRSAM1/CASP6/CLPB/RFTN1/MFHAS1/LRCH4/GPR108/NPLOC4/UFD1/IRF7/TGFB1/DHX33/DDX41/ZDHHC18/UBQLN1/ALPK1/SNCA/NONO/TNFRSF1A/NFKBIA/CD81/ATAT1/TRAF6/LYN/TNIP1/OTULIN/WDFY1/PQBP1/MASP1/DHX58/IL6ST/ZNFX1/ZDHHC3/STAT3/EMILIN1/UCN/ZDHHC9/OTUD4/RNF115/CREBBP/CACTIN/PARP9/TTBK1/TRIM65/MAPK1/STMP1/ZNRF1/IKBKB/ITCH/RNF31/UBE2K/ABHD17A/BIRC2/AKT1"
"GOBP_BIOLOGICAL_PROCESS_INVOLVED_IN_INTERSPECIES_INTERACTION_BETWEEN_ORGANISMS","GOBP_BIOLOGICAL_PROCESS_INVOLVED_IN_INTERSPECIES_INTERACTION_BETWEEN_ORGANISMS",345,0.277823182272754,2.13618403457039,2.97936885120481e-10,7.94829401304751e-08,6.56506539844429e-08,1639,"tags=51%, list=36%, signal=36%","GBP2/SFN/FOSL1/CITED1/CCL2/RELB/ICAM1/HSPA1B/ANXA1/IRAK2/RSAD2/NFKB2/SBNO2/HSPA1A/RNF125/ARID5A/C3/GBP1/IL6R/MAP2K3/HSP90AA1/MAPKAPK2/SLC7A5/MAP3K14/ATAD3A/NOD1/LDLR/ABCC1/SOD2/BCL2L1/PLSCR1/INPP5D/COLEC12/SERPING1/LRAT/SEC61A1/HSP90B1/CEBPG/C1R/HAVCR2/HSPB1/TRIM25/SAP30BP/PIM1/SLC15A4/HLA-F/SLC20A2/MARCHF2/LRSAM1/MR1/SMC5/CASP6/MYH9/DDX39A/ITGB8/C1S/CLPB/RFTN1/SLC22A4/MFHAS1/PBLD/LRCH4/GPR108/NPLOC4/UFD1/TENT5A/STAT1/IRF7/MYO1C/FASN/RAB7A/TGFB1/TRAF3IP2/DHX33/DDX41/HPN/GTF2F1/SHC1/PTPN2/ZDHHC18/AKAP12/HSP90AB1/TMEM43/UBQLN1/ITGB1/PML/NOCT/CCDC186/ALPK1/IFI44L/SNCA/PSMB3/PSMD11/NONO/TNFRSF1A/POLR3A/GBF1/IVNS1ABP/PLEKHM2/NFKBIA/IFITM2/NR1H2/CD81/SLC7A1/ATAT1/PLAA/PARP14/BCR/ARF1/ROCK2/LYST/TRAF6/LYN/XBP1/TNIP1/OTULIN/TRAF4/EEA1/DDX21/BRD4/ADAR/VWCE/CHMP3/WDFY1/PQBP1/EIF4E2/DUS2/MASP1/P4HB/SELENOW/DHX58/CYBC1/TRAFD1/PAIP1/USP14/USP20/ZNFX1/ZDHHC3/B2M/SMARCA4/PPARA/EMILIN1/CRCP/PSMA5/ZDHHC9/OTUD4/RNF115/PRPF8/GRK2/CREBBP/CRK/CACTIN/TRIM28/VPS4A/INPP5K/PARP9/TRIM65/MAPK1/STAT2/VPS37B/STMP1/RPS6KB1/PPID/ARL8B/ZNRF1/IKBKB/ITCH/PSMB4/RNF31/UBE2K/ABHD17A/CUL1/BIRC2/HDAC5/AKT1/CD74/TBKBP1"
"GOBP_ACTIVATION_OF_IMMUNE_RESPONSE","GOBP_ACTIVATION_OF_IMMUNE_RESPONSE",128,0.400367404047111,2.59531732043173,3.5990402432889e-10,8.64129562413666e-08,7.137465071954e-08,1742,"tags=69%, list=38%, signal=44%","GBP2/FOSL1/NFATC2/HSPA1B/IRAK2/RSAD2/HSPA1A/RNF125/C3/GBP1/SHB/HSP90AA1/MAPKAPK2/NOD1/PLSCR1/INPP5D/SERPING1/HSP90B1/PLPP4/C1R/HAVCR2/TRIM25/PRKD2/SLC15A4/CASP6/C1S/CLPB/RFTN1/BAG6/MFHAS1/LRCH4/GPR108/NPLOC4/UFD1/IRF7/DHX33/DDX41/PTPN2/ZDHHC18/UBQLN1/ALPK1/NONO/NFKBIA/CD276/CD81/ATAT1/TRAF6/PLEKHA1/LYN/TNIP1/OTULIN/CD72/BCAR1/WDFY1/PQBP1/STK11/MASP1/EIF2B4/DHX58/LIME1/ZNFX1/CSK/ZDHHC3/PLD2/ZDHHC9/OTUD4/RNF115/CREBBP/KHDRBS1/CACTIN/EIF2B5/TRIM65/MAPK1/STMP1/ZNRF1/IKBKB/ITCH/RNF31/ABHD17A/RABGEF1/BIRC2/AKT1/RC3H1/CCDC92/NECTIN2/PTPN11/EIF2B1/ERBIN"
"GOBP_REGULATION_OF_RESPONSE_TO_BIOTIC_STIMULUS","GOBP_REGULATION_OF_RESPONSE_TO_BIOTIC_STIMULUS",130,0.401451054780865,2.59630515899306,5.28054954374111e-10,1.05654995454353e-07,8.72680293018268e-08,1629,"tags=65%, list=36%, signal=43%","GBP2/SFN/FOSL1/HSPA1B/IRAK2/RSAD2/HSPA1A/RNF125/C3/HSP90AA1/MAPKAPK2/NOD1/PLSCR1/INPP5D/SERPING1/HSP90B1/HAVCR2/TRIM25/PIM1/SLC15A4/HLA-F/LRSAM1/MR1/CASP6/DDX39A/CLPB/RFTN1/MFHAS1/LRCH4/GPR108/NPLOC4/UFD1/STAT1/IRF7/TGFB1/TRAF3IP2/DHX33/DDX41/PTPN2/ZDHHC18/UBQLN1/PML/ALPK1/NONO/NFKBIA/NR1H2/ATAT1/PARP14/TRAF6/LYN/TNIP1/OTULIN/ADAR/WDFY1/PQBP1/EIF4E2/MASP1/DHX58/TRAFD1/ZNFX1/TIGAR/ZDHHC3/B2M/EMILIN1/ZDHHC9/OTUD4/RNF115/CREBBP/CRK/CACTIN/USP5/PARP9/TRIM65/STAT2/STMP1/ZNRF1/IKBKB/ITCH/RNF31/UBE2K/ABHD17A/CUL1/BIRC2/AKT1"
"GOBP_DEFENSE_RESPONSE_TO_OTHER_ORGANISM","GOBP_DEFENSE_RESPONSE_TO_OTHER_ORGANISM",206,0.331108368455239,2.38703841324963,5.25697500269269e-10,1.05654995454353e-07,8.72680293018268e-08,1639,"tags=57%, list=36%, signal=38%","GBP2/SFN/FOSL1/CITED1/CCL2/RELB/HSPA1B/ANXA1/IRAK2/RSAD2/HSPA1A/RNF125/ARID5A/C3/GBP1/HSP90AA1/MAPKAPK2/ATAD3A/NOD1/ABCC1/PLSCR1/INPP5D/COLEC12/SERPING1/SEC61A1/HSP90B1/CEBPG/C1R/HAVCR2/TRIM25/PIM1/SLC15A4/HLA-F/MARCHF2/LRSAM1/MR1/CASP6/DDX39A/C1S/CLPB/RFTN1/MFHAS1/PBLD/LRCH4/GPR108/NPLOC4/UFD1/STAT1/IRF7/MYO1C/TGFB1/DHX33/DDX41/PTPN2/ZDHHC18/TMEM43/UBQLN1/PML/ALPK1/SNCA/PSMB3/PSMD11/NONO/POLR3A/PLEKHM2/NFKBIA/IFITM2/NR1H2/ATAT1/PARP14/LYST/TRAF6/LYN/TNIP1/OTULIN/TRAF4/DDX21/ADAR/WDFY1/PQBP1/EIF4E2/DUS2/MASP1/DHX58/CYBC1/TRAFD1/USP14/USP20/ZNFX1/ZDHHC3/B2M/CRCP/PSMA5/ZDHHC9/OTUD4/RNF115/CREBBP/CRK/CACTIN/TRIM28/PARP9/TRIM65/STAT2/STMP1/RPS6KB1/ARL8B/ZNRF1/IKBKB/ITCH/PSMB4/RNF31/UBE2K/ABHD17A/CUL1/BIRC2/AKT1/CD74/TBKBP1"
"GOBP_REGULATION_OF_DEFENSE_RESPONSE","GOBP_REGULATION_OF_DEFENSE_RESPONSE",185,0.350642443851227,2.49656191718824,6.92562939758602e-10,1.27911047566185e-07,1.05650897044956e-07,1609,"tags=60%, list=35%, signal=40%","GBP2/SFN/FOSL1/C1QTNF12/HGF/HSPA1B/ANXA1/IRAK2/RSAD2/SBNO2/HSPA1A/RNF125/C3/GBP1/NEAT1/IL1R1/HSP90AA1/MAPKAPK2/NOD1/LDLR/ABCC1/PLSCR1/INPP5D/SERPING1/PRKAR2B/HSP90B1/HAVCR2/TRIM25/FNDC4/OSMR/PIM1/SLC15A4/HLA-F/LRSAM1/CASP6/DDX39A/CLPB/RFTN1/LPCAT3/MFHAS1/LRCH4/GPR108/NPLOC4/UFD1/STAT1/IRF7/BAP1/TGFB1/TRAF3IP2/DHX33/DDX41/DAGLB/PTPN2/ZDHHC18/UBQLN1/PML/ALPK1/SNCA/NONO/TNFRSF1A/NFKBIA/NR1H2/CD81/ATAT1/PARP14/BCR/SPHK1/TRAF6/LYN/TNIP1/OTULIN/BRD4/ADAR/PRMT2/WDFY1/PQBP1/EIF4E2/MASP1/DHX58/IL6ST/TRAFD1/ZNFX1/ZDHHC3/B2M/STAT3/PPARA/EMILIN1/UCN/ZDHHC9/OTUD4/RNF115/CREBBP/CRK/CACTIN/PARP9/TTBK1/TRIM65/MAPK1/STAT2/AREL1/STMP1/ZNRF1/IKBKB/ITCH/PSMB4/RNF31/UBE2K/ABHD17A/CUL1/RABGEF1/BIRC2"
"GOBP_POSITIVE_REGULATION_OF_IMMUNE_SYSTEM_PROCESS","GOBP_POSITIVE_REGULATION_OF_IMMUNE_SYSTEM_PROCESS",223,0.320859041899413,2.35601442442365,1.48832820800535e-09,2.55248287672918e-07,2.10827845404668e-07,1644,"tags=59%, list=36%, signal=40%","GBP2/FOSL1/PGF/CLCF1/CCL2/NFATC2/ICAM1/HSPA1B/ANXA1/IRAK2/RSAD2/HSPA1A/RNF125/ARID5A/C3/GBP1/SHB/IL6R/IL1R1/HSP90AA1/MAPKAPK2/SLC7A5/ANO6/NOD1/PMS2/PLSCR1/INPP5D/IL13RA1/SERPING1/MMP14/HSP90B1/PLPP4/TGFB2/C1R/HAVCR2/TRIM25/PRKD2/HLA-DMA/SLC15A4/HLA-F/MR1/HSPH1/CASP6/C1S/CLPB/RFTN1/BAG6/MFHAS1/LRCH4/STX4/GPR108/NPLOC4/UFD1/IRF7/TGFB1/MED23/DHX33/DDX41/PTPN2/ZDHHC18/UBQLN1/BRD2/ZNF335/ALPK1/NONO/DDRGK1/AP3D1/NFKBIA/CD276/CD81/LGMN/SLC7A1/ATAT1/TRAF6/CBFB/PLEKHA1/LYN/XBP1/TNIP1/OTULIN/MYO18A/DDX21/BRD4/CD72/BCAR1/WDFY1/PQBP1/STK11/MASP1/P4HB/EIF2B4/DHX58/IL6ST/LIME1/SHLD2/ZNFX1/CD99/CSK/ZDHHC3/B2M/SMARCA4/PLD2/ZDHHC9/OTUD4/ITPKB/RNF115/CREBBP/AMBRA1/KHDRBS1/CACTIN/EIF2B5/PCID2/PARP9/CAMK1D/TTBK1/GPI/TRIM65/MAPK1/SMARCD3/STMP1/ZNRF1/IKBKB/ITCH/RNF31/UBE2K/ABHD17A/RABGEF1/BIRC2/AKT1/CD74/EEIG1"
"GOBP_POSITIVE_REGULATION_OF_RESPONSE_TO_EXTERNAL_STIMULUS","GOBP_POSITIVE_REGULATION_OF_RESPONSE_TO_EXTERNAL_STIMULUS",136,0.381318794806256,2.4998627448255,2.05187253105994e-09,3.28436396471662e-07,2.71279147264346e-07,1635,"tags=65%, list=36%, signal=43%","GBP2/FOSL1/PGF/CCL2/HSPA1B/IRAK2/RSAD2/HSPA1A/RNF125/C3/GBP1/IL6R/NEAT1/IL1R1/HSP90AA1/MAPKAPK2/ANO6/NOD1/LDLR/ABCC1/PLSCR1/HSP90B1/HAVCR2/HSPB1/TRIM25/PRKD2/OSMR/SLC15A4/HLA-F/LRSAM1/CASP6/CLPB/RFTN1/MFHAS1/LRCH4/STX4/GPR108/NPLOC4/UFD1/IRF7/TGFB1/DHX33/DDX41/ZDHHC18/FGFR1/UBQLN1/ALPK1/SNCA/NONO/TNFRSF1A/NFKBIA/CD81/LGMN/ATAT1/TRAF6/LYN/TNIP1/OTULIN/CTTN/WDFY1/PQBP1/MASP1/DHX58/IL6ST/BMPR2/ZNFX1/ZDHHC3/STAT3/EMILIN1/ZDHHC9/OTUD4/RNF115/CREBBP/CACTIN/PARP9/CAMK1D/TTBK1/TRIM65/MAPK1/STMP1/ZNRF1/IKBKB/ITCH/RNF31/UBE2K/ABHD17A/BIRC2/AKT1/CD74"
"GOBP_IMMUNE_RESPONSE_REGULATING_SIGNALING_PATHWAY","GOBP_IMMUNE_RESPONSE_REGULATING_SIGNALING_PATHWAY",120,0.388373434772496,2.45473222566047,1.32300921104564e-08,1.98534069732536e-06,1.6398351010592e-06,1742,"tags=67%, list=38%, signal=42%","GBP2/FOSL1/NFATC2/HSPA1B/IRAK2/RSAD2/HSPA1A/RNF125/C3/GBP1/SHB/MAPKAPK2/NOD1/PLSCR1/INPP5D/HSP90B1/PLPP4/HAVCR2/TRIM25/PRKD2/SLC15A4/CLPB/RFTN1/BAG6/MFHAS1/LRCH4/GPR108/NPLOC4/UFD1/IRF7/DHX33/DDX41/PTPN2/ZDHHC18/UBQLN1/ALPK1/NFKBIA/CD276/CD81/ATAT1/TRAF6/PLEKHA1/LYN/TNIP1/OTULIN/CD72/BCAR1/WDFY1/STK11/MASP1/EIF2B4/DHX58/LIME1/CSK/ZDHHC3/PLD2/ZDHHC9/OTUD4/RNF115/CREBBP/KHDRBS1/CACTIN/EIF2B5/TRIM65/MAPK1/STMP1/ZNRF1/IKBKB/ITCH/RNF31/ABHD17A/RABGEF1/BIRC2/AKT1/RC3H1/CCDC92/NECTIN2/PTPN11/EIF2B1/ERBIN"
"GOBP_REGULATION_OF_RESPONSE_TO_EXTERNAL_STIMULUS","GOBP_REGULATION_OF_RESPONSE_TO_EXTERNAL_STIMULUS",240,0.292709749687953,2.14122276834231,2.10563912666103e-08,2.97390561359597e-06,2.45636168088507e-06,717,"tags=28%, list=16%, signal=24%","GBP2/SFN/FOSL1/PGF/C1QTNF12/CCL2/HGF/HSPA1B/ANXA1/IRAK2/GRK7/RSAD2/SBNO2/HSPA1A/RNF125/C3/GBP1/IL6R/NEAT1/IL1R1/HSP90AA1/MAPKAPK2/ANO6/NOD1/LDLR/ABCC1/UBASH3B/PLSCR1/INPP5D/SERPING1/PRKAR2B/HSP90B1/HAVCR2/HSPB1/TRIM25/FNDC4/PRKD2/OSMR/PIM1/SLC15A4/HLA-F/FGF1/LRSAM1/CASP6/DDX39A/CLPB/RFTN1/LPCAT3/MFHAS1/LRCH4/STX4/GPR108/NPLOC4/UFD1/STAT1/SPP1/IRF7/BAP1/TGFB1/TRAF3IP2/DHX33/DDX41/DAGLB/PTPN2/ZDHHC18/FGFR1"
"GOBP_CYTOKINE_MEDIATED_SIGNALING_PATHWAY","GOBP_CYTOKINE_MEDIATED_SIGNALING_PATHWAY",94,0.410923468580813,2.53638471026097,8.09304263780649e-08,1.07952196518741e-05,8.91654522200435e-06,1639,"tags=62%, list=36%, signal=40%","FOSL1/CLCF1/CCL2/HSPA1B/ACKR1/IRAK2/HSPA1A/CD44/IL6R/IL1R1/MAPKAPK2/SPPL2A/IL13RA1/RFFL/TRAF5/OSMR/GPR108/STAT1/IRF7/TRAF3IP2/PTPN2/HIPK1/PRKACA/TNFRSF1A/NFKBIA/IFITM2/NR1H2/ACTN4/PARP14/NUMBL/SPHK1/TRAF6/LYN/OTULIN/ADAR/NSMAF/EIF4E2/P4HB/IL6ST/STAT3/SOCS4/ZNF675/OTUD4/CACTIN/LIMS1/PARP9/ULK1/TRIM65/MAPK1/STAT2/IKBKB/UBE2K/RABGEF1/CPNE1/BIRC2/AKT1/CD74/TBKBP1"
