"geneID","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Symbol","celltype"
"MAGI2",149.82348309754,-1.40790570425484,0.0900781355259832,-15.6298273275064,4.5603716400761e-55,1.62850871267117e-51,"MAGI2","In_SST"
"HOMER1",19.8927875209816,3.1741914120541,0.22181584285277,14.3100302089827,1.89431026784301e-46,3.38229098323369e-43,"HOMER1","In_SST"
"CAMK2A",27.2691313610324,2.43489059339214,0.176467310340468,13.7979696562178,2.62131888114263e-43,3.1202432415201e-40,"CAMK2A","In_SST"
"SAMD4A",24.1175169700854,2.77843635613321,0.205474177010045,13.5220707368857,1.1586777643335e-41,1.03440957410873e-38,"SAMD4A","In_SST"
"FOXN3",19.7196305086319,3.02620607388877,0.224809611714114,13.4611952345576,2.64601110971278e-41,1.88978113455687e-38,"FOXN3","In_SST"
"SIK3",32.078074617962,2.07642533824496,0.157662354772663,13.1700769104902,1.30464700690297e-39,7.76482410275087e-37,"SIK3","In_SST"
"ELAVL2",34.6672917067829,-2.18540495901222,0.175641719891126,-12.4424024108103,1.53807183643291e-35,7.84636361128844e-33,"ELAVL2","In_SST"
"FHIT",28.4012715430837,-3.05048709319594,0.257370566740953,-11.8525095228402,2.08841436357811e-32,9.32215961542177e-30,"FHIT","In_SST"
"MAP4K5",17.3241396111276,2.55788942917946,0.222314365718466,11.5057316287815,1.23438104717375e-30,4.89774968828606e-28,"MAP4K5","In_SST"
"OXR1",124.894462973017,-1.06758816719004,0.0937754130815256,-11.384521081895,4.99418638353608e-30,1.78342395756073e-27,"OXR1","In_SST"
"PDE4B",48.7062618384018,-1.8889015005614,0.167065982418021,-11.3063202527677,1.22103676982263e-29,3.96392936821509e-27,"PDE4B","In_SST"
"LINC-PINT",61.0707130183568,1.21015431840337,0.110215854912368,10.9798569304348,4.77679722114155e-28,1.42149523972471e-25,"LINC-PINT","In_SST"
"CNTN5",127.952063834378,-2.52805430787692,0.235617816741136,-10.7294700496032,7.40194472228306e-27,2.03325727717483e-24,"CNTN5","In_SST"
"LSAMP",121.912561759304,-1.0721223211512,0.100577493925736,-10.6596642976889,1.57163702329876e-26,4.00879700728563e-24,"LSAMP","In_SST"
"SOX2-OT",20.9124612103632,-2.81229074113372,0.273422270103959,-10.285521878172,8.18971950437421e-25,1.94969922334135e-22,"SOX2-OT","In_SST"
"LINC00632",39.6489901335014,1.44568518428698,0.144557433265744,10.0007668345171,1.51221476984879e-23,3.37507433945626e-21,"LINC00632","In_SST"
"SIK2",15.0296539073276,2.21803505902773,0.225115568114576,9.85287280486452,6.66122421797698e-23,1.39924892249387e-20,"SIK2","In_SST"
"PDE4D",63.4710898507281,-1.24270689940964,0.126996385655125,-9.78537218204281,1.30115688677453e-22,2.58135069037324e-20,"PDE4D","In_SST"
"LINC01322",31.3829907148571,-1.79106237045874,0.184427400951882,-9.71147650085924,2.69405854029568e-22,5.06341213020836e-20,"LINC01322","In_SST"
"ARFGEF3",26.3031242850319,1.72632902570987,0.183321572821742,9.41694422068108,4.6440674962673e-21,8.29198251458527e-19,"ARFGEF3","In_SST"
"RBMS3",62.1892946493023,-1.11197991731869,0.119479653519426,-9.30685589189374,1.31672362133535e-20,2.23905716751835e-18,"RBMS3","In_SST"
"UTRN",15.2219194573048,-4.02816452681705,0.441289022131182,-9.12817750906931,6.96620881128707e-20,1.08157963761331e-17,"UTRN","In_SST"
"LINC00513",15.5123006522551,2.54171304250303,0.278389684487,9.13005468283335,6.84647038545394e-20,1.08157963761331e-17,"LINC00513","In_SST"
"UBA6-DT",13.5786863323834,-3.83954218155563,0.435771000703026,-8.81091714538444,1.24126087976722e-18,1.83464070897362e-16,"UBA6-DT","In_SST"
"UNC5D",61.0271235043414,-1.82527928723898,0.207251198271089,-8.80708677424135,1.28440262459649e-18,1.83464070897362e-16,"UNC5D","In_SST"
"COL19A1",12.4748086962106,-4.33114456714739,0.499148275230348,-8.67707008533415,4.06094873733029e-18,5.5775569003871e-16,"COL19A1","In_SST"
