"geneID","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Symbol","celltype"
"GPC5",843.665175186262,-1.15782986839826,0.0568147970412148,-20.3790197042918,2.56745638744496e-92,2.93203519446214e-88,"GPC5","Astrocytes"
"ENSG00000287277",35.0400506462639,-2.0947059011147,0.159594010063207,-13.1252162927988,2.36107670182456e-39,1.34817479674182e-35,"LOC105376387","Astrocytes"
"LRRC4C",125.072420477964,-1.53021007041007,0.117983080022291,-12.9697416792387,1.81641458601122e-38,6.91448485741604e-35,"LRRC4C","Astrocytes"
"AEBP1",60.0241024652524,2.87715232858844,0.224963197122885,12.7894356294057,1.878329608781e-37,5.36263103306977e-34,"AEBP1","Astrocytes"
"DLC1",232.745553812065,-1.21414846925824,0.0973614290255761,-12.4705284362588,1.08106749661073e-35,2.46915816225891e-32,"DLC1","Astrocytes"
"TJP2",40.1214258818282,2.21942197502857,0.179080319555919,12.3934443524127,2.83595851810641e-35,5.39777437946253e-32,"TJP2","Astrocytes"
"C2CD5-AS1",83.1569493557057,-1.34382361812538,0.113883250111684,-11.8000111237387,3.90259866854616e-32,5.57095959934965e-29,"C2CD5-AS1","Astrocytes"
"MGAT4C",145.898829987938,-1.37423269114867,0.116375790929912,-11.8085787444943,3.52468895005769e-32,5.57095959934965e-29,"MGAT4C","Astrocytes"
"SYNM",9.43797691833745,4.22806824775919,0.367507496142295,11.5047129436569,1.24904232551539e-30,1.58489592859841e-27,"SYNM","Astrocytes"
"PLEKHA5",71.5184641215818,2.36605963679907,0.210572308110108,11.2363285468755,2.70395399724765e-29,3.08791546485682e-26,"PLEKHA5","Astrocytes"
"F11-AS1",43.9462015390324,-1.48231067697656,0.132379653280832,-11.1974207534142,4.19777493605454e-29,4.35805361543117e-26,"F11-AS1","Astrocytes"
"NRXN1",662.949105035034,-1.83248144912808,0.16501890236409,-11.1046760272649,1.19048278408612e-28,1.13294278285529e-25,"NRXN1","Astrocytes"
"RHOJ",33.3078877638825,-1.4308773044058,0.129461640929068,-11.0525194500646,2.13147616413583e-28,1.87241983034086e-25,"RHOJ","Astrocytes"
"AUTS2",134.275451192785,-0.745258585536355,0.0680609650952128,-10.9498680263171,6.65444986378339e-28,5.42812981745759e-25,"AUTS2","Astrocytes"
"ENSG00000234418",17.1776982825269,-2.02474931804431,0.188485201229908,-10.7422190433645,6.44757311931785e-27,4.90875233484066e-24,"ENSG00000234418","Astrocytes"
"ENSG00000259616",22.793377274312,2.41133407366843,0.225115432039198,10.7115449697316,8.98496702245923e-27,6.41302021228028e-24,"ENSG00000259616","Astrocytes"
"NKAIN3",295.512531693967,-1.87614716871425,0.175484247679073,-10.6912568707897,1.11844902214072e-26,7.51334578402765e-24,"NKAIN3","Astrocytes"
"MIR9-1HG",147.208943750324,-1.62663566335681,0.153229237511719,-10.6157003047959,2.51898389349403e-26,1.53242323138469e-23,"MIR9-1HG","Astrocytes"
"LRRC3B",92.116334864171,-1.34744693896744,0.126943109102396,-10.6145733194588,2.54956579652444e-26,1.53242323138469e-23,"LRRC3B","Astrocytes"
"TNFRSF12A",3.97037682350949,3.87803507475796,0.366357984409002,10.5853707024125,3.48398925848193e-26,1.98935786659318e-23,"TNFRSF12A","Astrocytes"
"NAA25",20.4847459212708,1.42397011330571,0.13519772769934,10.5325003425532,6.11872556314609e-26,3.32742123481563e-23,"NAA25","Astrocytes"
"ATP8A1",36.130795987586,-1.18735452878522,0.113009153870535,-10.5067110770997,8.04504081198513e-26,4.17610754876683e-23,"ATP8A1","Astrocytes"
"ACSS1",62.6861534541265,-1.10652206654813,0.108506472425747,-10.1977517267954,2.02915292556897e-24,1.00751853956511e-21,"ACSS1","Astrocytes"
